talo+Sg+Nom	talo

talo+Pl+Nom	talot

talo+Sg+Gen	talon

talo+Pl+Gen	talojen

talo+Sg+Part	taloa

talo+Pl+Part	taloja

talo+Sg+In	talossa

talo+Pl+In	taloissa

talo+Sg+Abl	talolta

talo+Sg+Ill	talohon

talo+Pl+Ill	taloihin

talo+Sg+All	talolla

	+?

elämä+Sg+Nom	elämä

elämä+Pl+Nom	elämät

elämä+Sg+Gen	elämän

elämä+Pl+Gen	elämien

elämä+Sg+Part	elämää

elämä+Pl+Part	elämiä

elämä+Sg+In	elämässä

elämä+Pl+In	elämissä

elämä+Sg+Abl	elämältä

elämä+Sg+Ill	elämähän

elämä+Sg+All	elämällä

elämä+Pl+Ill	elämiin

	+?

kuu+Sg+Nom	kuu

kuu+Pl+Nom	kuut

kuu+Sg+Gen	kuun

kuu+Pl+Gen	kuiden

kuu+Sg+Part	kuuta

kuu+Pl+Part	kuita

kuu+Sg+In	kuussa

kuu+Pl+In	kuissa

kuu+Sg+Abl	kuulta

kuu+Sg+Ill	kuuhun

kuu+Sg+All	kuulla

kuu+Pl+Ill	kuihin

	+?

työ+Sg+Nom	työ

työ+Pl+Nom	työt

työ+Sg+Gen	työn

työ+Pl+Gen	töiden

työ+Sg+Part	työtä

työ+Pl+Part	töitä

työ+Sg+In	työssä

työ+Pl+In	töissä

työ+Sg+Abl	työltä

työ+Sg+Ill	työhön

työ+Sg+All	työllä

työ+Pl+Ill	töihin

	+?

sukka+Sg+Nom	sukka

sukka+Pl+Nom	sukat

sukka+Sg+Gen	sukan

sukka+Pl+Gen	sukkien

sukka+Sg+Part	sukkaa

sukka+Pl+Part	sukkia

sukka+Sg+In	sukassa

sukka+Pl+In	sukissa

sukka+Sg+Abl	sukalta

sukka+Sg+Ill	sukkahan

sukka+Sg+All	sukalla

sukka+Pl+Ill	sukkiin

	+?

poika+Sg+Nom	poika

poika+Pl+Nom	pojat

poika+Sg+Gen	pojan

poika+Pl+Gen	poikien

poika+Sg+Part	poikaa

poika+Pl+Part	poikia

poika+Sg+In	pojassa

poika+Pl+In	pojissa

poika+Sg+Abl	pojalta

poika+Sg+Ill	poikahan

poika+Sg+All	pojalla

poika+Pl+Ill	poikiin

	+?

kaappi+Pl+Ill	kaappiin

matto+Pl+Ill	mattoihin

kukka+Sg+Gen	kukan

	+?

tupa+Sg+In	tuvassa

katu+Sg+All	kadulla

vihta+Sg+All	vihdalla

poika+Sg+All	pojalla

jalka+Sg+Gen	jalan

	+?

matka+Pl+In	matkoissa

kirja+Pl+Part	kirjoja

piha+Pl+All	pihoilla

herra+Pl+Gen	herrojen

	+?

koira+Pl+Gen	koirien

poika+Pl+All	pojilla

muna+Pl+Part	munia

kuuma+Pl+In	kuumissa

	+?

kampa+Sg+All	kammalla

kenkä+Pl+Nom	kengät

ilta+Sg+All	illalla

kerta+Sg+Gen	kerran

suku+Sg+In	suvussa

	+?

puu+Pl+Part	puita

tie+Pl+All	teillä

	+?

avain+Sg+Nom	avain

avain+Sg+Part	avainta

avain+Sg+Gen	avaimen

avain+Pl+In	avaimissa

avain+Pl+Ill	avaimiin

avain+Sg+Ill	avainVn

avain+Pl+Abl	avaimilta

avain+Sg+All	avainlla

	+?

työtön+Sg+Nom	työtön

työtön+Sg+Part	työtöntä

työtön+Sg+Gen	työttömen

työtön+Pl+In	työttömissä

työtön+Pl+Ill	työttömiin

työtön+Sg+Ill	työtönVn

työtön+Pl+Abl	työttömiltä

